cycle,left_5,internal_zero,external_zero,right_5,balance,strip_health,stability,noise,pressure
1,0.72549,0.0,0.0,-0.78148,0.49767,0.49831,0.56056,0.0165,1
2,0.87509,0.0,0.0,0.44198,0.85563,0.4959,0.70922,0.018,1
3,0.81506,0.0,0.0,0.74372,0.97622,0.49393,0.72092,0.0195,1
4,-0.27655,0.0,0.0,0.82274,0.63357,0.49139,0.65805,0.021,1
5,-0.78197,0.0,0.0,0.20721,0.67027,0.48941,0.68436,0.0225,1
6,-0.62201,0.0,0.0,-0.86944,0.91752,0.48869,0.70801,0.024,1
7,0.676,0.0,0.0,-0.77779,0.5154,0.48726,0.57176,0.0255,1
8,0.86183,0.0,0.0,0.44105,0.85974,0.48576,0.71091,0.027,1
9,0.83276,0.0,0.0,0.74194,0.96973,0.48281,0.71499,0.0285,1
10,-0.24459,0.0,0.0,0.80478,0.65021,0.48071,0.66851,0.03,1
11,-0.78857,0.0,0.0,0.23706,0.65812,0.47937,0.67404,0.0315,1
12,-0.5944,0.0,0.0,-0.87973,0.90489,0.47832,0.70419,0.033,1
13,0.63674,0.0,0.0,-0.77249,0.53026,0.47688,0.58097,0.0345,1
14,0.86073,0.0,0.0,0.48857,0.87595,0.47558,0.70925,0.036,1
15,-0.14009,0.0,0.0,0.71466,0.71508,0.47404,0.71454,0.0375,1
16,-0.27143,0.0,0.0,0.78049,0.64936,0.47171,0.66654,0.039,1
17,-0.73802,0.0,0.0,0.20949,0.68416,0.47069,0.69162,0.0405,1
18,-0.57602,0.0,0.0,-0.89899,0.89234,0.46909,0.69831,0.042,1
19,0.62223,0.0,0.0,-0.72976,0.54934,0.4685,0.59354,0.0435,1
20,0.81589,0.0,0.0,0.40463,0.86292,0.46757,0.71959,0.045,1
21,-0.10655,0.0,0.0,0.74756,0.7153,0.46352,0.71312,0.0465,1
22,-0.22978,0.0,0.0,0.75598,0.67142,0.46246,0.68114,0.048,1
23,-0.74458,0.0,0.0,0.21023,0.68173,0.46088,0.68839,0.0495,1
24,-0.55038,0.0,0.0,-0.83789,0.90417,0.45931,0.71182,0.051,1
25,0.67864,0.0,0.0,-0.73411,0.52908,0.4565,0.57706,0.0525,1
26,0.73306,0.0,0.0,0.44425,0.90373,0.45772,0.7378,0.054,1
27,-0.0913,0.0,0.0,0.6599,0.7496,0.45391,0.73655,0.0555,1
28,-0.23739,0.0,0.0,0.78512,0.65916,0.45197,0.67069,0.057,1
29,-0.75066,0.0,0.0,0.21638,0.67765,0.4499,0.68378,0.0585,1
30,-0.52932,0.0,0.0,-0.84484,0.89483,0.44907,0.70878,0.06,1
31,0.51119,0.0,0.0,-0.72731,0.58716,0.44908,0.61806,0.0615,1
32,0.87776,0.0,0.0,0.37486,0.83237,0.44554,0.70158,0.063,1
33,-0.12536,0.0,0.0,0.7018,0.72428,0.44245,0.71647,0.0645,1
34,-0.1874,0.0,0.0,0.7966,0.672,0.44171,0.67846,0.066,1
35,-0.71101,0.0,0.0,0.26618,0.67427,0.44023,0.67988,0.0675,1
36,-0.51714,0.0,0.0,-0.80066,0.90549,0.43897,0.71804,0.069,1
37,0.58992,0.0,0.0,-0.72879,0.56043,0.43558,0.59665,0.0705,1
38,0.79396,0.0,0.0,0.46671,0.89092,0.4341,0.71935,0.072,1
39,-0.11247,0.0,0.0,0.60779,0.75991,0.43505,0.74119,0.0735,1
40,-0.26401,0.0,0.0,0.7033,0.67756,0.43197,0.68103,0.075,1
41,-0.66722,0.0,0.0,0.16403,0.72292,0.42933,0.71351,0.0765,1
42,-0.45857,0.0,0.0,-0.77623,0.89411,0.42989,0.72307,0.078,1
43,0.60508,0.0,0.0,-0.61642,0.59283,0.43057,0.61939,0.0795,1
44,0.77818,0.0,0.0,0.36866,0.86349,0.4283,0.72311,0.081,1
45,-0.18142,0.0,0.0,0.55514,0.75448,0.42797,0.73619,0.0825,1
46,-0.26095,0.0,0.0,0.64994,0.69637,0.42804,0.69407,0.084,1
47,-0.7205,0.0,0.0,0.15217,0.70911,0.4258,0.70298,0.0855,1
48,-0.47499,0.0,0.0,-0.75124,0.90792,0.42485,0.72822,0.087,1
49,0.63362,0.0,0.0,-0.65412,0.57075,0.42285,0.60222,0.0885,1
50,0.7334,0.0,0.0,0.38473,0.88378,0.42079,0.73267,0.09,1
51,-0.06052,0.0,0.0,0.64604,0.76448,0.41786,0.74193,0.0915,1
52,-0.27431,0.0,0.0,0.66016,0.68851,0.41659,0.68666,0.093,1
53,-0.67262,0.0,0.0,0.24293,0.69482,0.41382,0.69082,0.0945,1
54,-0.43384,0.0,0.0,-0.80714,0.87556,0.41234,0.71318,0.096,1
55,0.51324,0.0,0.0,-0.62863,0.61938,0.4114,0.63576,0.0975,1
56,0.73241,0.0,0.0,0.31927,0.86229,0.40836,0.73159,0.099,1
57,-0.15902,0.0,0.0,0.57276,0.75607,0.40706,0.73421,0.1005,1
58,-0.2596,0.0,0.0,0.57963,0.72026,0.40729,0.70828,0.102,1
59,-0.51578,0.0,0.0,0.24514,0.74636,0.40929,0.7275,0.1035,1
60,-0.38322,0.0,0.0,-0.71592,0.8891,0.4071,0.73486,0.105,1
61,0.45374,0.0,0.0,-0.62038,0.64196,0.40809,0.65163,0.1065,1
62,0.72932,0.0,0.0,0.44009,0.90359,0.40183,0.73035,0.108,1
63,-0.22061,0.0,0.0,0.61912,0.72009,0.39666,0.70656,0.1095,1
64,-0.2868,0.0,0.0,0.60755,0.70188,0.39482,0.69309,0.111,1
65,-0.55257,0.0,0.0,0.11058,0.77895,0.39634,0.74919,0.1125,1
66,-0.45808,0.0,0.0,-0.62496,0.94437,0.39816,0.75487,0.114,1
67,0.62267,0.0,0.0,-0.63581,0.58051,0.3941,0.60498,0.1155,1
68,0.64455,0.0,0.0,0.27919,0.87821,0.3942,0.75104,0.117,1
69,-0.07902,0.0,0.0,0.60678,0.7714,0.38961,0.74271,0.1185,1
70,-0.16641,0.0,0.0,0.66927,0.72144,0.38728,0.70614,0.12,1
71,-0.57093,0.0,0.0,0.10207,0.77566,0.38674,0.74537,0.1215,1
72,-0.43043,0.0,0.0,-0.71324,0.90573,0.38597,0.73194,0.123,1
73,0.50726,0.0,0.0,-0.55675,0.64533,0.3868,0.65088,0.1245,1
74,0.64657,0.0,0.0,0.31604,0.88982,0.38672,0.74912,0.126,1
75,-0.20216,0.0,0.0,0.5165,0.76045,0.38478,0.73404,0.1275,1
76,-0.21696,0.0,0.0,0.77656,0.66883,0.37773,0.66656,0.129,1
77,-0.61424,0.0,0.0,0.35355,0.6774,0.37552,0.67245,0.1305,1
78,-0.32659,0.0,0.0,-0.54715,0.92648,0.3782,0.77178,0.132,1
79,0.5054,0.0,0.0,-0.54664,0.64932,0.37812,0.65247,0.1335,1
80,0.68769,0.0,0.0,0.35308,0.88846,0.37686,0.7374,0.135,1
81,-0.24025,0.0,0.0,0.50969,0.75002,0.37966,0.72571,0.1365,1
82,-0.17827,0.0,0.0,0.7166,0.70171,0.37546,0.69006,0.138,1
83,-0.42525,0.0,0.0,0.15932,0.80514,0.37332,0.76473,0.1395,1
84,-0.46707,0.0,0.0,-0.54653,0.97351,0.37482,0.77025,0.141,1
85,0.58715,0.0,0.0,-0.59316,0.60656,0.37049,0.62033,0.1425,1
86,0.54709,0.0,0.0,0.31201,0.92164,0.37515,0.77146,0.144,1
87,-0.1009,0.0,0.0,0.64462,0.75149,0.36882,0.72516,0.1455,1
88,-0.19644,0.0,0.0,0.46391,0.77988,0.37031,0.74596,0.147,1
89,-0.51346,0.0,0.0,0.13803,0.78284,0.37099,0.74821,0.1485,1
90,-0.48723,0.0,0.0,-0.62707,0.95339,0.37058,0.74998,0.15,1
91,0.52869,0.0,0.0,-0.45378,0.67251,0.37194,0.66836,0.1515,1
92,0.74313,0.0,0.0,0.30358,0.85348,0.36564,0.72273,0.153,1
93,-0.19533,0.0,0.0,0.40842,0.79875,0.37185,0.75987,0.1545,1
94,-0.18254,0.0,0.0,0.64263,0.72494,0.36695,0.70563,0.156,1
95,-0.68666,0.0,0.0,0.28496,0.67612,0.36277,0.6696,0.1575,1
96,-0.31458,0.0,0.0,-0.64442,0.89005,0.3597,0.7456,0.159,1
97,0.44761,0.0,0.0,-0.54911,0.66776,0.35726,0.66271,0.1605,1
98,0.72921,0.0,0.0,0.20096,0.82392,0.35365,0.72515,0.162,1
99,-0.04154,0.0,0.0,0.54024,0.80607,0.35019,0.76193,0.1635,1
100,-0.20406,0.0,0.0,0.60857,0.72912,0.34501,0.70537,0.165,1
101,-0.57998,0.0,0.0,0.25957,0.72015,0.34254,0.69849,0.1665,1
102,-0.47713,0.0,0.0,-0.53028,0.98228,0.34283,0.7693,0.168,1
103,0.34104,0.0,0.0,-0.71447,0.64816,0.33825,0.64565,0.1695,1
104,0.54264,0.0,0.0,0.29173,0.91636,0.33909,0.76729,0.171,1
105,-0.04871,0.0,0.0,0.43214,0.83972,0.34188,0.78508,0.1725,1
106,-0.19901,0.0,0.0,0.565,0.74533,0.34009,0.71638,0.174,1
107,-0.45047,0.0,0.0,0.10666,0.81429,0.33565,0.76571,0.1755,1
108,-0.31624,0.0,0.0,-0.57819,0.91268,0.33338,0.75764,0.177,1
109,0.41667,0.0,0.0,-0.47838,0.70165,0.33518,0.68397,0.1785,1
110,0.62213,0.0,0.0,0.3542,0.91069,0.33159,0.74644,0.18,1
111,-0.19195,0.0,0.0,0.42876,0.7931,0.33404,0.7501,0.1815,1
112,-0.26498,0.0,0.0,0.51689,0.73938,0.33275,0.71096,0.183,1
113,-0.43565,0.0,0.0,0.26383,0.76684,0.33354,0.73099,0.1845,1
114,-0.21323,0.0,0.0,-0.41121,0.93401,0.34151,0.80007,0.186,1
115,0.47835,0.0,0.0,-0.48913,0.67751,0.34306,0.66765,0.1875,1
116,0.68558,0.0,0.0,0.14453,0.81965,0.34252,0.73449,0.189,1
117,-0.19548,0.0,0.0,0.62086,0.72789,0.33396,0.70281,0.1905,1
118,-0.07137,0.0,0.0,0.59784,0.77693,0.33655,0.73876,0.192,1
119,-0.42925,0.0,0.0,0.18878,0.79399,0.33351,0.75067,0.1935,1
120,-0.38388,0.0,0.0,-0.68378,0.90003,0.33065,0.73115,0.195,1
121,0.49239,0.0,0.0,-0.36354,0.71469,0.33581,0.69352,0.1965,1
122,0.52917,0.0,0.0,0.23342,0.90141,0.33665,0.77067,0.198,1
123,-0.0441,0.0,0.0,0.44214,0.83792,0.33445,0.78266,0.1995,1
124,-0.24967,0.0,0.0,0.48011,0.75674,0.33315,0.72361,0.201,1
125,-0.35714,0.0,0.0,0.29283,0.78334,0.33317,0.7429,0.2025,1
126,-0.47292,0.0,0.0,-0.77103,0.90063,0.32426,0.70837,0.204,1
127,0.52997,0.0,0.0,-0.45508,0.67165,0.324,0.66055,0.2055,1
128,0.66903,0.0,0.0,0.43372,0.92156,0.31504,0.73196,0.207,1
129,0.03135,0.0,0.0,0.40246,0.8763,0.31332,0.79948,0.2085,1
130,-0.28761,0.0,0.0,0.5011,0.7371,0.30809,0.70561,0.21,1
131,-0.4503,0.0,0.0,0.13835,0.80379,0.31146,0.75446,0.2115,1
132,-0.36043,0.0,0.0,-0.49683,0.95453,0.3143,0.77407,0.213,1
133,0.413,0.0,0.0,-0.66108,0.64197,0.30976,0.63689,0.2145,1
134,0.46379,0.0,0.0,0.42369,0.98663,0.30645,0.78035,0.216,1
135,-0.22857,0.0,0.0,0.5129,0.75284,0.30311,0.71628,0.2175,1
136,-0.24326,0.0,0.0,0.65131,0.70181,0.29898,0.67866,0.219,1
137,-0.46352,0.0,0.0,0.16807,0.78947,0.29355,0.7414,0.2205,1
138,-0.24919,0.0,0.0,-0.73059,0.83954,0.2879,0.71455,0.222,1
139,0.38234,0.0,0.0,-0.45751,0.72005,0.28777,0.6902,0.2235,1
140,0.38968,0.0,0.0,0.28356,0.96463,0.29332,0.79746,0.225,1
141,-0.15014,0.0,0.0,0.52213,0.77591,0.28447,0.73021,0.2265,1
142,-0.29069,0.0,0.0,0.40796,0.76712,0.28429,0.7238,0.228,1
143,-0.38486,0.0,0.0,0.26359,0.78385,0.28666,0.73629,0.2295,1
