cycle,left_5,internal_zero,external_zero,right_5,balance,strip_health,stability,noise,pressure
1,0.73181,0.0,0.0,-0.77709,0.49703,0.49831,0.5601,0.02,1
2,0.8736,0.0,0.0,0.43971,0.85537,0.49587,0.7096,0.02,1
3,0.81433,0.0,0.0,0.74394,0.97654,0.49391,0.72109,0.02,1
4,-0.2751,0.0,0.0,0.82309,0.63394,0.49139,0.65831,0.02,1
5,-0.78297,0.0,0.0,0.20819,0.66961,0.48944,0.68388,0.02,1
6,-0.61936,0.0,0.0,-0.87358,0.91526,0.48871,0.70703,0.02,1
7,0.67648,0.0,0.0,-0.7791,0.51481,0.48723,0.57132,0.02,1
8,0.86319,0.0,0.0,0.44471,0.86051,0.48556,0.71052,0.02,1
9,0.82841,0.0,0.0,0.73764,0.96974,0.48278,0.71607,0.02,1
10,-0.24564,0.0,0.0,0.80632,0.64935,0.48065,0.66787,0.02,1
11,-0.78336,0.0,0.0,0.22787,0.66292,0.4792,0.6775,0.02,1
12,-0.59238,0.0,0.0,-0.8773,0.90503,0.47826,0.70479,0.02,1
13,0.64746,0.0,0.0,-0.76973,0.5276,0.47673,0.57902,0.02,1
14,0.85564,0.0,0.0,0.46921,0.87119,0.47503,0.71056,0.02,1
15,-0.12764,0.0,0.0,0.71307,0.71976,0.47311,0.7178,0.02,1
16,-0.25873,0.0,0.0,0.78568,0.65187,0.47085,0.66823,0.02,1
17,-0.74743,0.0,0.0,0.20816,0.68147,0.46951,0.68949,0.02,1
18,-0.57447,0.0,0.0,-0.87516,0.89977,0.46834,0.70397,0.02,1
19,0.63538,0.0,0.0,-0.73984,0.54159,0.46718,0.58773,0.02,1
20,0.82482,0.0,0.0,0.42139,0.86552,0.46555,0.71699,0.02,1
21,-0.11132,0.0,0.0,0.71747,0.72374,0.46247,0.71908,0.02,1
22,-0.23695,0.0,0.0,0.76604,0.66567,0.46075,0.67672,0.02,1
23,-0.74192,0.0,0.0,0.20518,0.6843,0.45913,0.68999,0.02,1
24,-0.55513,0.0,0.0,-0.83478,0.90679,0.45804,0.71234,0.02,1
25,0.64964,0.0,0.0,-0.73137,0.53966,0.45594,0.58465,0.02,1
26,0.78452,0.0,0.0,0.43116,0.88221,0.45502,0.72507,0.02,1
27,-0.10737,0.0,0.0,0.67165,0.74033,0.45214,0.72956,0.02,1
28,-0.23835,0.0,0.0,0.76523,0.66547,0.45004,0.67497,0.02,1
29,-0.73269,0.0,0.0,0.20322,0.68803,0.44824,0.69106,0.02,1
30,-0.53838,0.0,0.0,-0.82308,0.9051,0.44745,0.71372,0.02,1
31,0.58225,0.0,0.0,-0.71689,0.56695,0.44634,0.60299,0.02,1
