cycle,left_5,internal_zero,external_zero,right_5,balance,strip_health,stability,noise,pressure
1,0.74049,0.0,0.0,-0.77053,0.49633,0.49815,0.55956,0.025,1.012
2,0.8694,0.0,0.0,0.43316,0.85459,0.49533,0.71058,0.025,1.024
3,0.8075,0.0,0.0,0.74257,0.97836,0.49302,0.72262,0.025,1.036
4,-0.27963,0.0,0.0,0.81932,0.63368,0.48978,0.65789,0.025,1.048
5,-0.77673,0.0,0.0,0.20461,0.67289,0.48699,0.68589,0.025,1.06
6,-0.61815,0.0,0.0,-0.86234,0.91861,0.48539,0.70926,0.025,1.072
7,0.66919,0.0,0.0,-0.77092,0.51996,0.4829,0.57441,0.025,1.084
8,0.85168,0.0,0.0,0.43691,0.86174,0.48014,0.71256,0.025,1.096
9,0.8183,0.0,0.0,0.72962,0.97044,0.47584,0.71754,0.025,1.108
10,-0.23968,0.0,0.0,0.79205,0.65609,0.47218,0.67149,0.025,1.12
11,-0.7682,0.0,0.0,0.2274,0.66813,0.46912,0.67976,0.025,1.132
12,-0.57702,0.0,0.0,-0.8561,0.90697,0.46636,0.70825,0.025,1.144
13,0.62316,0.0,0.0,-0.74804,0.54293,0.46289,0.58806,0.025,1.156
14,0.82717,0.0,0.0,0.45848,0.8771,0.45919,0.71516,0.025,1.168
15,-0.12497,0.0,0.0,0.68572,0.72977,0.45509,0.72235,0.025,1.18
16,-0.24849,0.0,0.0,0.75143,0.66669,0.45033,0.6759,0.025,1.192
17,-0.70685,0.0,0.0,0.19961,0.69784,0.44652,0.69792,0.025,1.204
18,-0.54114,0.0,0.0,-0.8314,0.90325,0.44255,0.71095,0.025,1.216
19,0.59125,0.0,0.0,-0.69141,0.57245,0.43868,0.60583,0.025,1.228
20,0.76536,0.0,0.0,0.3871,0.87391,0.43417,0.72694,0.025,1.24
21,-0.09975,0.0,0.0,0.66711,0.74438,0.42755,0.72881,0.025,1.252
22,-0.21321,0.0,0.0,0.70285,0.69465,0.42261,0.69201,0.025,1.264
23,-0.67316,0.0,0.0,0.19006,0.71226,0.41751,0.70401,0.025,1.276
24,-0.49631,0.0,0.0,-0.75136,0.91498,0.41275,0.7262,0.025,1.288
25,0.5796,0.0,0.0,-0.65086,0.58984,0.40668,0.61364,0.025,1.3
26,0.68421,0.0,0.0,0.37794,0.89791,0.40226,0.74184,0.025,1.312
27,-0.0892,0.0,0.0,0.58336,0.77581,0.39496,0.74671,0.025,1.324
28,-0.20135,0.0,0.0,0.66663,0.71067,0.38858,0.69852,0.025,1.336
29,-0.62396,0.0,0.0,0.17921,0.73228,0.38231,0.71325,0.025,1.348
30,-0.44827,0.0,0.0,-0.6946,0.91789,0.37708,0.73496,0.025,1.36
31,0.47139,0.0,0.0,-0.59403,0.64486,0.37149,0.64825,0.025,1.372
32,0.67638,0.0,0.0,0.31974,0.88112,0.36374,0.73844,0.025,1.384
33,-0.09661,0.0,0.0,0.5444,0.78633,0.35593,0.74848,0.025,1.396
34,-0.16891,0.0,0.0,0.60654,0.74151,0.34913,0.71497,0.025,1.408
35,-0.55147,0.0,0.0,0.17334,0.7584,0.34223,0.72617,0.025,1.42
36,-0.39564,0.0,0.0,-0.60744,0.9294,0.33593,0.75029,0.025,1.432
37,0.44338,0.0,0.0,-0.52673,0.67663,0.32793,0.66475,0.025,1.444
38,0.57964,0.0,0.0,0.30549,0.90862,0.32017,0.7554,0.025,1.456
39,-0.08653,0.0,0.0,0.4541,0.81979,0.31309,0.76631,0.025,1.468
40,-0.1697,0.0,0.0,0.51048,0.77327,0.30437,0.73128,0.025,1.48
41,-0.47039,0.0,0.0,0.12853,0.80036,0.2961,0.74968,0.025,1.492
42,-0.32673,0.0,0.0,-0.51759,0.93638,0.28963,0.76564,0.025,1.504
43,0.38458,0.0,0.0,-0.42748,0.72931,0.28248,0.69612,0.025,1.516
44,0.49524,0.0,0.0,0.23787,0.91421,0.27346,0.76935,0.025,1.528
45,-0.09242,0.0,0.0,0.3746,0.84433,0.26486,0.77687,0.025,1.54
46,-0.14161,0.0,0.0,0.42233,0.81202,0.25639,0.75217,0.025,1.552
47,-0.40293,0.0,0.0,0.10533,0.83058,0.24738,0.76428,0.025,1.564
48,-0.26598,0.0,0.0,-0.42382,0.94739,0.23946,0.78128,0.025,1.576
49,0.31109,0.0,0.0,-0.35237,0.77885,0.23024,0.7242,0.025,1.588
50,0.3935,0.0,0.0,0.18832,0.93161,0.22037,0.78639,0.025,1.6
51,-0.06133,0.0,0.0,0.30986,0.87627,0.20989,0.79178,0.025,1.612
52,-0.1134,0.0,0.0,0.33779,0.8496,0.19999,0.77096,0.025,1.624
53,-0.30368,0.0,0.0,0.09338,0.86765,0.18991,0.78253,0.025,1.636
54,-0.18811,0.0,0.0,-0.32278,0.95511,0.18092,0.79757,0.025,1.648
55,0.21177,0.0,0.0,-0.25458,0.84455,0.17115,0.76297,0.025,1.66
56,0.2901,0.0,0.0,0.12428,0.94473,0.16004,0.80286,0.025,1.672
57,-0.06455,0.0,0.0,0.21,0.90848,0.14916,0.80602,0.025,1.684
58,-0.07804,0.0,0.0,0.23227,0.89656,0.13877,0.79583,0.025,1.696
59,-0.19475,0.0,0.0,0.06285,0.91413,0.12966,0.80719,0.025,1.708
60,-0.10371,0.0,0.0,-0.20061,0.9677,0.11959,0.81859,0.025,1.72
61,0.12413,0.0,0.0,-0.15385,0.90734,0.10947,0.79924,0.025,1.732
62,0.1804,0.0,0.0,0.0732,0.96427,0.09648,0.82027,0.025,1.744
63,-0.05333,0.0,0.0,0.1138,0.94429,0.0835,0.82214,0.025,1.756
64,-0.04278,0.0,0.0,0.12564,0.94386,0.07153,0.82003,0.025,1.768
65,-0.09089,0.0,0.0,0.0252,0.9613,0.06093,0.83108,0.025,1.78
66,-0.0272,0.0,0.0,-0.07267,0.98484,0.05115,0.83988,0.025,1.792
67,0.05134,0.0,0.0,-0.03935,0.96977,0.04332,0.83458,0.025,1.804
